firm_ID,event_date,realized_earnings,earnings_forecast,lagged_ME
61,2017-08-24,475.8,579.2,8962.95
62,2017-08-08,116.14,119.8,1140.64
63,2017-03-31,222.36,221.25,1699.93
64,2017-06-22,124.72,135.78,1488.96
65,2017-11-21,641.93,658.56,4356.77
66,2017-05-11,546.48,564.37,3178.69
67,2018-02-09,439.49,447.99,4808.32
68,2017-12-18,465.76,479.37,6166.48
69,2017-09-11,418.25,457.57,6672.05
70,2017-10-11,966.18,1003.98,5360.59
71,2017-07-07,889.87,962.47,11296.01
72,2017-09-21,907.67,956.82,5088.91
73,2017-01-04,876.85,889.63,6316.82
74,2017-06-02,629.76,647.66,4608.08
75,2017-09-28,642.84,703.03,8713.36
76,2018-01-30,393.06,399.78,2821.42
77,2018-02-23,574.36,573.51,4599.98
78,2017-04-18,371.34,400.92,5686.45
79,2017-12-19,627.61,628.7,11819.89
80,2017-07-06,737.08,831.75,14609.81
81,2018-03-09,653.71,687.09,4747.02
82,2017-11-13,257.3,249.43,3861.68
83,2017-10-26,180.74,193.34,3090.55
84,2017-06-07,901.71,922.56,17760.66
85,2017-08-31,759.87,815.72,9369.03
86,2018-03-02,771.45,797.15,11260.62
87,2017-06-01,152.62,167.42,2864.63
88,2017-06-06,935.42,973.92,14194.83
89,2017-06-07,395.03,401.45,2279.79
90,2017-04-12,247.72,263.66,1664.46
91,2017-10-05,431.13,491.33,8463.26
92,2017-04-27,108.44,114.52,788.09
93,2017-04-13,314.77,326.8,1850.75
94,2017-05-22,762.78,864.01,11153.34
95,2018-02-06,249.87,260.6,2113.14
96,2017-04-13,996.67,981.67,17141.59
97,2017-08-03,184.31,197.88,1390.44
98,2017-10-16,597.31,642.95,7666.61
99,2017-02-20,747.12,745.81,12817.91
100,2017-12-11,919.92,976.36,7634.41
101,2017-05-23,698.15,733.24,10182.65
102,2017-08-07,942.73,989.07,16122.72
103,2018-02-20,101.79,108.09,1152.8
104,2017-04-25,270.31,335.97,4584.23
105,2017-10-27,479.68,485.86,3606.02
106,2017-02-10,139.25,146.64,1665.8
107,2017-06-14,350.73,361.29,2950.69
108,2017-06-15,866.84,872.91,12067.9
109,2017-01-04,326.85,343.7,3832.91
110,2017-11-06,580.02,663.51,9435.19
111,2017-01-04,626.82,682.9,12497.38
112,2017-03-03,961.64,1070.15,18450.73
113,2018-01-26,994.47,1002.55,14746.94
114,2018-02-19,718.16,722.98,10405.47
115,2017-07-07,384.8,422.97,6920.52
116,2018-01-10,656.86,714.16,11697.09
117,2017-08-21,397.59,408.13,2647.1
118,2017-06-19,228.37,222.91,3513.95
119,2018-02-01,974.85,1000.78,4879.05
120,2017-02-06,862.94,871.36,4856.73
121,2017-12-06,273.31,289.6,3179.78
122,2017-03-02,104.34,113.97,904.21
123,2018-01-24,601.22,670.74,8936.76
124,2017-12-18,843,869.68,12193.86
125,2017-09-27,674.3,799.57,12845.34
126,2017-12-26,452.17,486.36,7338.74
127,2017-06-07,876.73,923.42,6469.99
128,2017-12-07,412.22,438.89,5145.59
129,2018-01-16,547.03,572.82,2849.52
130,2018-01-10,586.4,631.22,9072.3
131,2017-02-02,326.51,326.67,2751.59
132,2017-03-16,995.04,995.07,18869.48
133,2017-01-16,892.67,968.11,10859.72
134,2018-01-15,532.51,605.91,6289.94
135,2017-04-18,974.38,1024.25,7058.91
136,2017-09-27,242.46,255,4079.12
137,2017-11-07,581.65,596.28,8448.77
138,2017-12-28,642.52,678.11,9134.76
139,2017-11-28,152.59,166.67,2166.79
140,2017-12-13,542.09,550.55,2727.15
141,2017-06-20,371.03,380.61,5366.78
142,2017-12-19,680.93,718.24,12006.71
143,2017-04-06,925.3,936.19,5294.08
144,2017-05-16,422.18,425.2,3691.72
145,2017-12-19,727.6,724.19,7366.83
146,2017-07-21,122.8,136.8,1588.84
147,2017-01-20,602.62,618.43,4219.8
148,2017-11-17,122.51,126.93,1708.56
149,2017-05-23,336.11,365.08,6525.46
150,2017-09-06,778.99,868.6,12002.22
151,2017-10-26,561.49,625.91,7526.89
152,2017-08-22,482.51,566.36,9451.99
153,2017-04-28,402.89,426.55,7289.61
154,2017-04-24,951.3,1002.4,13922.88
155,2018-03-19,958.56,1036.6,9214.82
156,2018-02-19,265.53,280.39,3495.71
157,2018-02-09,110.88,116.08,1160.71
158,2018-03-27,752.5,826.48,13520.55
159,2017-05-25,516.25,545.26,3980.38
160,2017-10-27,105.52,115.98,1247.99
161,2017-12-04,329.13,358.79,5242.91
162,2017-11-30,997.97,1026.88,6581.02
163,2017-05-30,151,154.97,1800.85
164,2017-06-19,638.5,694.61,12559.26
165,2017-01-23,476.26,501.2,3835.64
166,2017-05-25,855.69,922.94,12713.22
167,2017-04-07,312.21,326.56,5458.76
168,2017-09-19,492.72,527.8,9732.33
169,2018-01-04,842.12,945.38,16552.74
170,2017-07-07,945.04,994.17,14877.85
171,2017-05-09,412.78,414.94,3235.28
172,2017-10-13,371.32,407.53,5991.7
173,2017-06-15,817.47,856.26,6191.55
174,2018-01-30,355.96,362.3,4518.06
175,2017-06-30,137.52,139.51,2138.79
176,2017-10-20,227.59,244.16,3788.15
177,2018-01-24,144.62,151.8,1255.52
178,2017-09-28,697.31,710.99,12304.36
179,2018-02-27,557.5,596.4,9268.55
180,2018-03-26,915.55,1147.65,18268.5
181,2017-08-09,333.04,383.77,5246.06
182,2018-03-06,687.43,765.97,8610.39
183,2017-10-23,540.69,609.25,7674.41
184,2018-01-16,924.71,945.46,7345.68
185,2018-01-05,279.83,311,3882.25
186,2017-05-11,767.44,815.5,14702.41
187,2017-06-22,505.97,615.05,9651.97
188,2018-03-09,979.86,1012.14,6632.48
189,2017-05-10,800.18,828.65,5488.81
190,2017-11-22,763.18,805.33,6751.18
191,2017-01-10,371.31,395.41,6953.63
192,2017-10-18,600.86,642.79,4360.27
193,2017-07-20,973.71,1027.78,5829.05
194,2017-06-20,818.91,985.46,15434.44
195,2017-11-15,749.72,783.12,7719.16
196,2017-11-07,152.86,155.6,812.1
197,2017-02-28,397.73,459.13,5863.39
198,2017-06-06,646.19,697.51,6409.42
199,2017-07-11,230.27,244.66,3874.66
200,2017-10-23,619.86,643.68,4457.84
201,2017-11-13,166.35,180.4,3074.89
202,2018-02-01,853.13,919.12,12898.9
203,2017-02-24,307.18,312.57,2309.08
204,2017-04-19,345.31,364.89,2926.81
205,2017-11-13,182.93,186.19,2415.12
206,2017-12-15,996.12,1052.06,14854.13
207,2017-05-18,865.33,922.2,14706.03
208,2017-12-18,198.23,221.85,3644.68
209,2017-09-13,693.72,743.95,8043.86
210,2018-01-23,333.56,345.4,2366.2
211,2017-03-09,106.72,119.97,1277.76
212,2017-12-18,660.41,671.47,4022.69
213,2017-12-25,424.41,430.29,2140.34
214,2017-05-17,966.47,1091.91,18248.89
215,2017-12-11,727.09,800.2,9610.57
216,2017-11-21,297.92,304.37,4205.68
217,2017-10-12,212.27,227.62,4010.11
218,2017-05-10,104.12,109.3,711.18
219,2017-08-17,203.7,207.97,1870.28
220,2017-05-02,178.07,177.25,1414.81
221,2018-03-08,461.01,500.13,5547.58
222,2017-05-12,288.03,319.6,5538.81
223,2017-10-19,994.6,1054.39,13663.69
224,2018-01-17,550.94,657.37,9923.31
225,2017-02-15,185.82,188.28,1025.73
226,2017-11-01,731.67,791.64,13674.19
227,2018-02-16,639.61,727.91,12669.36
228,2017-06-28,867.54,1078.65,17248.09
229,2017-03-03,558.61,620.58,9170.5
230,2017-11-27,134.69,154.26,2351.38
231,2017-01-04,179.31,203.79,1700.13
232,2018-02-28,152.98,170.59,2410.2
233,2018-01-11,551.78,560.36,6066.74
234,2017-08-15,602.11,659.53,10771.64
235,2017-04-19,692.71,717.43,5084.99
236,2017-05-12,438.78,471.77,5999.02
237,2018-03-12,540.83,606.2,4828.8
238,2017-08-22,664.24,678.3,4654.06
239,2017-05-17,622.06,664.99,6672.96
240,2017-06-01,338.69,348.31,1836.84
241,2017-06-23,901.38,933.12,17043.26
242,2017-10-13,644.8,680.28,7385.48
243,2018-02-07,990.06,1031.91,13878.24
244,2017-04-11,228.63,259.81,4523.86
245,2017-02-03,441.9,440.28,2358.33
246,2017-07-24,870.64,905.28,9443.31
247,2017-05-16,278.48,289.91,4208.08
248,2017-08-29,661.03,684.58,6955.22
249,2018-02-06,738.36,802.85,11672.22
250,2017-04-21,899.58,959.64,14346.54
251,2018-01-09,791.05,861.83,14556.95
252,2018-01-25,731.98,750.74,4766.38
253,2017-01-24,509.6,508.91,3906.9
254,2017-05-01,375.98,404.45,6869.3
255,2017-04-24,938.31,967.55,17869.33
256,2017-03-02,402.21,409.46,6660.41
257,2018-02-27,188.59,198.15,3480.19
258,2017-03-08,362.8,358.5,6988.46
259,2018-02-23,436.54,476.4,5474.6
260,2017-06-16,262.97,301.21,4829.36
261,2017-12-21,983.29,1013.39,8279.35
262,2017-05-31,572.69,615.06,3502.58
263,2017-07-13,798.15,796.81,9745.31
264,2017-03-08,308.72,316.07,2156.71
265,2017-11-24,617.72,658.15,10898.9
266,2017-05-12,333.32,343,1890.13
267,2017-08-10,437.94,459.93,3258.77
268,2017-10-25,334.07,353.96,5326.79
269,2017-10-26,554.51,610.34,10090.88
270,2018-02-28,514.29,534.51,4615.85
271,2018-02-26,773.36,806.41,7970.88
272,2017-01-30,234.11,236.44,1481.12
273,2017-02-08,119.66,121.2,953.03
274,2017-03-06,146.91,155.86,1050.22
275,2017-01-30,343,377.78,5518.71
276,2017-09-25,210.69,218.68,1516.87
277,2018-02-22,551.67,549.65,2906.58
278,2017-07-03,120.49,130.02,1492.44
279,2017-01-13,147.02,155.86,1395.67
280,2017-01-23,518.94,544.23,6327.64
281,2018-01-17,638.46,662.45,11707.72
282,2017-06-16,849.34,835.85,11880.11
283,2018-03-08,656.49,668.88,4654.55
284,2017-04-18,824.36,819.92,10841.31
285,2017-03-03,145.9,155.37,1783.13
286,2018-02-22,877.58,880.31,4964.83
287,2018-01-12,482.2,520.56,4856.41
288,2017-12-29,193.03,212.95,1975.63
289,2017-05-11,680.87,701.91,6722.85
290,2017-08-31,192.23,197.51,1408.18
291,2018-01-23,159.88,161.9,2864.73
292,2017-06-08,812.75,836.03,12216.52
293,2017-12-22,156.48,162.85,928.57
294,2017-07-10,936.31,1034.02,17048.62
295,2017-08-18,765.92,776.68,4241.64
296,2017-03-06,815.21,854.07,10698.5
297,2017-08-03,797.47,882.2,15327.67
298,2017-12-19,473.49,487.62,3060.36
299,2017-08-01,970.63,1017.22,15740.44
300,2017-06-05,182.11,194.19,2375.19
301,2018-01-24,178.23,183,1754.55
302,2017-04-18,843.25,914.28,15616.58
303,2017-05-12,196.98,214.76,3262.2
304,2017-07-19,923.68,931.17,11877.11
305,2017-10-18,994.16,1031.61,16035.64
306,2017-08-22,477.76,548.66,9353.61
307,2017-08-15,425.59,447.51,3586.88
308,2017-09-25,982.34,1157.45,15601.24
309,2017-02-10,984.7,984.98,11566.09
310,2017-04-04,214.07,235.93,3923.29
311,2017-03-15,999.91,1041.09,5234.25
312,2017-08-07,943.14,1093.28,17992.7
313,2017-12-21,557.23,582.59,9508.88
314,2017-12-18,679.51,764.79,7134.95
315,2017-08-23,165.85,171.65,1029.49
316,2017-01-27,129.28,134.66,1587.22
317,2017-08-16,112.35,112.75,990.28
318,2017-07-13,246.3,270.88,4044.6
319,2017-05-30,761.75,807.7,13816.5
320,2017-05-15,572.72,647.82,10329.9
321,2017-12-05,859.2,888.5,11936.44
322,2017-01-11,765.95,823.73,12320.68
323,2017-05-15,756.03,753.48,13555.49
324,2017-07-20,392.8,407.11,6139.1
325,2018-01-05,515.39,571.29,9390.66
326,2017-07-06,277.64,301.81,4841.23
327,2017-10-18,778.84,834.72,9098.77
328,2017-07-28,400.79,487.74,6963.61
329,2017-09-06,827.31,955.65,14512.33
330,2017-04-27,163.07,182.55,2135.4
331,2018-03-16,879.23,1034.28,14042.2
332,2017-04-03,279.3,285.42,1961.08
333,2017-10-05,711.2,721.36,10345.27
334,2017-07-14,935.43,1012.18,10617.44
335,2017-10-24,187.93,211.69,1550.53
336,2017-03-16,832.89,896.93,7544.35
337,2018-01-30,961.47,1081.65,14628.38
338,2017-05-16,848.58,969.5,11639.89
339,2017-06-22,120.01,122.32,1637.15
340,2017-07-27,850.02,905.27,9549.55
341,2017-06-30,380.48,437.76,6329.36
342,2017-08-21,942.49,964.52,10243.27
343,2017-04-14,742.96,797.43,12503.44
344,2017-02-22,367.8,379.16,2604.59
345,2018-03-05,765.82,798.81,7374.51
346,2017-01-06,434.51,484.59,8548.74
347,2017-11-09,534.71,561.81,8894.18
348,2018-02-06,235.85,257.79,4018.32
349,2017-10-20,477.52,560.63,5614.34
350,2018-01-18,321.65,366.59,4532.3
351,2017-11-14,642.66,687.07,6459.33
352,2018-01-30,271.41,278.43,1555.06
353,2017-01-10,689.79,797.43,10502.14
354,2017-06-22,879.79,989.58,17583.01
355,2017-09-20,506.05,542.27,9710.86
356,2017-12-11,181.95,185.07,1091.82
357,2017-06-09,161.69,162.93,2447.24
358,2017-08-31,534.17,597.61,8078.28
359,2017-08-28,318.07,353.95,3127.4
360,2017-09-19,558.13,585.63,9027.36
361,2017-09-04,245.25,260.49,4734.73
362,2017-08-01,549.39,552.42,9014.12
363,2017-05-24,304.22,331.84,3437.33
364,2017-11-21,940.8,988.14,13379.98
365,2017-02-01,991.46,1082,10934.7
366,2018-02-23,987.24,1026.79,11259.04
367,2017-03-14,861.42,925.93,16675.38
368,2017-11-02,428.78,437.73,2248.08
369,2017-01-13,133.92,138.82,1094
370,2017-10-19,105.06,105.37,748.72
371,2017-06-07,953.01,1133.16,17844.23
372,2017-11-10,150.64,157.14,2940.55
373,2017-01-20,524.05,648.45,9389.81
374,2017-01-26,679.48,733.84,8087.59
375,2017-03-01,863.63,905.88,14326.38
376,2017-04-27,111.02,116.37,1237.41
377,2018-02-07,238,288.24,3100.76
378,2017-01-19,907.05,1052.95,14162.18
379,2017-02-27,195.81,213.04,1752.86
380,2017-08-31,299.84,311.73,2898.03
381,2017-08-10,570.47,611.44,9440.35
382,2017-03-31,326.06,345.58,4860.43
383,2017-05-22,932.55,970.67,7035.9
384,2017-08-17,739.08,791.66,4418.71
385,2017-02-27,890.96,931.92,9068.61
386,2017-09-22,175.07,189.71,2260.39
387,2017-05-12,908.55,943.85,11598.61
388,2018-02-13,744.72,775.54,12885.75
389,2017-07-28,805.26,843.35,8780.82
390,2017-01-19,209.74,226.28,1760.73
391,2017-03-08,813.03,898.33,13490.82
392,2017-06-12,159.89,166.64,1935.04
393,2017-07-11,194.38,207.59,3499.79
394,2017-09-25,871.14,947.38,16080.51
395,2017-09-05,710.97,724.96,12297.27
396,2018-01-31,268.65,300.64,4932.21
397,2017-01-27,197.52,211.38,3722.23
398,2017-04-04,962.22,1049.63,16133.31
399,2017-09-29,605.17,690.26,8582.09
400,2018-01-25,225.72,231.45,1402.22
401,2017-06-26,872.31,935.15,11290.64
402,2017-08-24,409.49,427.16,5948.5
403,2017-06-12,607.28,643.76,3827.12
404,2017-10-23,768.13,783.73,6410.75
405,2017-12-01,185.44,196.21,3493.21
406,2017-03-28,486.25,490.85,2736.54
407,2017-12-29,307.63,318.99,1920.34
408,2017-01-17,397.83,428.07,6995.96
409,2018-01-18,991.69,1021.34,13562.16
410,2017-01-17,494.55,543.57,8928.7
411,2017-08-14,207.93,223.51,2423.07
412,2017-06-20,394.07,420.65,6184.33
413,2017-10-10,309.16,340.13,3931.69
414,2018-03-02,937.78,975.98,5139.77
415,2018-02-20,223.78,234.23,3500.51
416,2018-02-27,498.32,504.24,4592.09
417,2017-04-24,138.33,144.47,1183.03
418,2017-04-14,603.69,695.1,8079.96
419,2018-02-27,532.9,586.93,8777.61
420,2018-03-19,173.64,193.25,1930.73
421,2018-03-15,858.22,946.49,11516.71
422,2017-01-05,405.3,427.3,4544.68
423,2017-11-24,793.52,821.05,4464.6
424,2018-02-13,453.59,468.25,5264.52
425,2017-03-13,182.36,198.51,2831.9
426,2017-01-12,578.75,587.03,8207.3
427,2017-11-21,861.84,928.8,10482.82
428,2017-12-15,522.84,542.14,4932.02
429,2017-07-13,101.88,110.72,1822.51
430,2017-12-04,186.99,216.47,3511.51
431,2018-03-22,204,226.52,3440.58
432,2017-05-12,349.71,378.46,3167.9
433,2018-03-02,723.3,743.6,4628.58
434,2017-04-27,791.84,830,7568.11
435,2017-03-01,179.57,186.21,1600.72
436,2017-02-10,916.35,968.04,7832.29
437,2017-11-20,653.03,662.62,4200.88
438,2017-07-04,466.95,512.08,4549.72
439,2018-02-02,939.56,992.19,15516.81
440,2017-10-31,658.38,655.79,6313.41
441,2017-03-08,763.35,792.79,14715.06
442,2017-05-17,361.42,403.79,4763.38
443,2017-01-30,673.12,704.53,5253.27
444,2018-02-27,932.08,975.6,12715.29
445,2018-02-23,396.47,410.14,5855.78
446,2017-07-26,387.86,428.9,7699.08
447,2017-01-17,159.11,166.22,1534.9
448,2017-05-08,548.45,638.28,9120.64
449,2017-04-14,269.74,276.1,3401.41
450,2017-01-31,420.35,436.64,2757.27
451,2018-01-31,503.39,542.14,4284.45
452,2017-12-08,800.86,867.45,6173.16
453,2017-09-08,592.11,600.87,5075.68
454,2017-03-21,634.8,646.9,6221.17
455,2017-05-30,525.77,585.27,5779.17
456,2017-04-18,284.12,346.18,5442.26
457,2017-05-17,945.19,960.42,6067.73
458,2018-02-28,131.96,139.74,1881.25
459,2017-07-06,505.08,539.01,9687.25
460,2017-10-10,889.78,927.18,9748.32
461,2017-03-07,642.68,669.16,6929.95
462,2017-05-30,884.04,922.13,11801.81
463,2017-02-27,843.61,1095.32,16597.25
464,2018-02-26,169.78,171.19,1579.52
465,2017-07-05,375.59,386.77,4785.79
466,2017-07-13,651.08,685.73,5972.63
467,2017-06-15,938.1,987.63,12998.72
468,2017-08-28,247.28,247.03,3005.63
469,2017-10-05,299.3,329.29,5116.82
470,2017-06-13,361.39,409.26,4267.71
471,2017-11-14,758.72,793.85,9687.62
472,2018-01-10,474.29,513.64,4057.55
473,2017-03-07,275.07,288.18,2049.9
474,2017-01-23,729.02,760.31,9289.02
475,2017-03-06,935.48,1006.99,5907.08
476,2018-01-31,562.04,595.57,3931.69
477,2018-03-01,149.17,154.43,2817.96
478,2017-09-27,440.65,484.11,3556.21
479,2017-09-15,378.14,470.78,7370.83
480,2017-08-01,881.32,981.48,11325.86
481,2018-02-26,187.86,226.89,3749.84
482,2018-02-09,151.63,165.03,1426.48
483,2017-09-07,691.58,735.61,9971.92
484,2018-02-27,611.76,610.06,5346.94
485,2017-04-28,363.67,381.87,2253.58
486,2017-05-18,580.98,615.96,10051.26
487,2018-01-30,253.89,279.6,3203.36
488,2017-04-03,950.01,982.83,18820.13
489,2017-03-28,881.23,895.96,5917.52
490,2017-02-03,202.49,204.6,1292.68
491,2017-12-29,605.6,628.48,8108.85
492,2017-03-14,868.22,890.72,6481
493,2018-02-20,256.34,285.41,2739.9
494,2017-06-22,416.52,440.52,3863.57
495,2017-11-14,739.97,751.52,5702.67
496,2017-12-18,543.75,566.37,8240.18
497,2017-08-29,737.47,789.87,8572.06
498,2017-09-25,876.73,877.18,15054.09
499,2017-11-21,727.4,776.28,13745.4
500,2017-05-19,392.86,418.23,5668.55
501,2017-06-23,160.66,176.38,2166.84
502,2017-07-21,377.23,380.94,5619.4
503,2018-02-16,606.98,662.06,10555.85
504,2017-02-14,174.63,177.32,2401.63
505,2017-01-24,816.73,901.94,7456.34
506,2017-04-07,688.26,706.46,5815.02
507,2017-10-26,731.61,772.3,5106.86
508,2017-08-07,590.28,612.68,7275.34
509,2017-10-13,252.27,245.87,3987.81
510,2017-02-09,253.03,282.49,3711.89
511,2017-02-27,539.73,580.92,6444.2
512,2017-02-27,574.74,583.92,6401.7
513,2017-08-30,237.87,239.5,1842.48
514,2017-06-07,256.4,275.98,2690.46
515,2017-09-11,773.31,784.24,10965.07
516,2017-09-04,667.45,699.34,12737.55
517,2017-07-25,477.8,522.78,9221.67
518,2017-03-28,211.78,253.3,3936.75
519,2017-01-24,343.81,358.08,5807.51
520,2017-04-14,758.46,783.33,13017.06
521,2018-01-04,842.14,859.67,14326.61
522,2017-05-24,597.64,596.89,5101.8
523,2017-07-18,304.77,322.19,4172.7
524,2017-03-09,209.42,217.77,2475.31
525,2017-11-09,268.12,288.37,4717.49
526,2017-05-09,662.96,666.34,8171.1
527,2017-12-20,369.32,386.85,6881.13
528,2017-03-31,705.46,713.75,6543.76
529,2017-11-30,910.17,964.05,11216.85
530,2017-11-24,685.38,689.94,5770.05
531,2017-05-23,593.35,658.7,11691.35
532,2017-10-13,802.69,847.91,13961.63
533,2018-03-22,378.9,400.48,6322.84
534,2017-06-05,459.35,464.92,5111.75
535,2017-05-31,529.85,548.95,8057.74
536,2017-11-22,443.8,485.09,8194.94
537,2018-03-13,548.05,590.5,6679.38
538,2018-03-27,731.46,761.56,4256.23
539,2017-06-09,897.75,947.8,7909.34
540,2017-11-01,436.06,446.44,4477.78
541,2017-10-02,251.85,323.74,4452.33
542,2017-11-14,635.86,653.27,5990.39
543,2017-04-14,562.34,587.93,6448.24
544,2017-09-25,417.5,432.21,4076.73
545,2017-04-21,875.63,914.22,5252.28
546,2017-08-28,690.61,764.96,11389.91
547,2017-06-06,653.59,669.54,6020.12
548,2017-02-20,457.2,465.49,3033.81
549,2017-11-01,865.5,999.4,8620.11
550,2017-05-26,210.32,242.32,3180.83
551,2017-12-01,789.45,840.47,13310.31
552,2018-01-04,579.74,596.03,9595.24
553,2018-01-22,181.23,191.56,3511.55
554,2018-03-12,976.14,1037.06,6137.36
555,2017-11-24,295.91,299.35,1511.48
556,2017-06-08,762.48,885.17,14630.6
557,2017-01-16,753.1,769.82,8087.29
558,2017-01-13,559.43,578.75,7176.4
559,2018-01-22,498.48,529.84,7290.87
560,2017-07-14,231.94,255.95,4270.75
561,2017-10-02,861.15,898.37,12577.8
562,2017-11-20,947.67,971.88,14807.25
563,2018-03-28,830.54,877.62,6728.95
564,2017-08-03,414.27,441.99,7122
565,2017-04-10,399.64,413.49,6680.35
566,2017-01-10,112.79,117.31,1030.18
567,2017-04-20,890.76,902.93,5999.15
568,2017-01-30,398.87,405.64,6737.98
569,2017-07-18,902.13,995.31,5939.81
570,2017-07-05,907.92,997.24,9965.54
571,2017-02-02,987.89,1039.14,13905.37
572,2017-11-27,672.54,710.23,12346.06
573,2017-03-08,186.77,193.82,1295.77
574,2017-05-10,752.64,793.4,9156.85
575,2017-06-19,816.33,847.25,5691.58
576,2017-11-29,348.61,372.69,2916.53
577,2017-03-24,431.3,437.53,4324.45
578,2017-08-18,741.66,783.78,6273.72
579,2017-11-27,602.69,637.31,4480.9
580,2017-11-20,816.64,851.65,8044.59
581,2018-01-23,645.19,668.42,6427.42
582,2017-07-31,203.35,204.55,1769.07
583,2017-07-12,840.11,860.62,11606.14
584,2017-12-01,979.28,1000.62,15141.48
585,2017-12-18,649.72,664.97,5806.32
586,2017-07-21,501.24,527.14,3717.03
587,2017-04-21,470.59,505.79,6618.84
588,2018-02-23,336.84,383.28,3656.08
589,2017-05-24,415.21,419.31,7718.23
590,2017-01-06,214.56,239.14,2376.35
591,2018-01-24,682.37,725.95,3740.48
592,2017-05-19,619.06,622.66,9836.78
593,2017-01-23,178.93,193.89,2634.71
594,2017-07-24,151.91,163.88,1915.18
595,2017-01-16,760.65,783.55,9720.12
596,2018-03-15,601.85,652.38,9633.44
597,2017-12-01,209.2,212.93,3059.64
598,2017-09-25,647.7,680.83,8720.76
599,2017-10-13,507.29,542.9,9480.55
600,2017-12-04,473.14,524.92,8239.94
601,2017-02-16,125.05,130.52,2452.64
602,2017-12-26,832.46,890.61,8225.3
603,2018-01-15,986.11,1000.66,6326.51
604,2017-01-30,128.67,155.14,2554.37
605,2017-10-25,986.21,1075.2,19366.68
606,2017-09-27,184.63,206.04,3153.97
607,2017-02-01,453.17,460.61,5126.27
608,2018-02-16,605.99,643.97,4054.34
609,2017-12-22,981.43,1086.66,10156.61
610,2018-01-16,700.59,734.88,8200.67
611,2017-05-31,192.43,203.99,1275.85
612,2017-08-25,395.15,395.4,3220.66
613,2017-08-23,814.05,830.14,11105.59
614,2018-03-27,296.47,354.68,5687.34
615,2017-12-21,903.06,949.68,16121.77
616,2017-02-24,757.8,773.34,4097.73
617,2017-09-29,307.25,307.52,3266.39
618,2017-02-06,954.35,976.88,6483.59
619,2018-03-12,601.29,616.3,7794.93
620,2017-03-15,547.47,548.15,5872.62
621,2017-12-01,190.79,190.35,1751.22
622,2017-01-16,606.67,623.04,4889.85
623,2017-04-18,596.49,620.96,9433.67
624,2017-07-07,646.53,661.76,6618.24
625,2018-03-08,633.29,663.14,9799.9
626,2017-05-17,445.34,502.45,8659.87
627,2018-03-20,762.51,835.41,12521.98
628,2017-07-06,821.75,876.58,10424.45
629,2017-08-01,435.6,488.67,7567.14
630,2017-03-15,715.64,734.23,7172.02
631,2017-08-15,963.27,1171.47,15092.62
632,2017-03-02,919.13,1081.76,12847.1
633,2017-02-15,329.04,362.84,5205.99
